episode,total_reward,length,success,wall_hits
289,-11.179999999999962,200,0,102
290,-10.999999999999963,200,0,100
291,-10.999999999999963,200,0,100
292,-10.549999999999963,200,0,95
293,-10.369999999999965,200,0,93
294,-10.099999999999966,200,0,90
295,-10.459999999999965,200,0,94
296,-10.639999999999965,200,0,96
297,-10.819999999999965,200,0,98
298,-9.919999999999963,200,0,88
299,-11.449999999999962,200,0,105
300,-8.88999999999997,171,1,91
301,-10.279999999999966,200,0,92
302,-11.629999999999962,200,0,107
303,-11.629999999999962,200,0,107
304,-10.18999999999996,200,0,91
305,-11.899999999999961,200,0,110
306,-10.819999999999963,200,0,98
307,-11.44999999999996,200,0,105
308,-10.009999999999964,200,0,89
309,-10.819999999999965,200,0,98
310,-11.359999999999962,200,0,104
311,-12.34999999999996,200,0,115
312,-9.829999999999966,200,0,87
313,-10.999999999999961,200,0,100
314,-10.909999999999963,200,0,99
315,-11.989999999999961,200,0,111
316,-11.269999999999962,200,0,103
317,-10.189999999999964,200,0,91
318,-10.729999999999963,200,0,97
319,-10.369999999999964,200,0,93
320,-10.549999999999965,200,0,95
321,-11.719999999999962,200,0,108
322,-11.449999999999962,200,0,105
323,-8.929999999999968,200,0,77
324,-10.639999999999963,200,0,96
325,-10.549999999999963,200,0,95
326,-12.619999999999958,200,0,118
327,-10.369999999999962,200,0,93
328,-10.009999999999962,200,0,89
329,-10.279999999999964,200,0,92
330,-11.089999999999963,200,0,101
331,-10.459999999999964,200,0,94
332,-9.019999999999968,200,0,78
333,-9.829999999999965,200,0,87
334,-10.999999999999963,200,0,100
335,-10.009999999999964,200,0,89
336,-10.909999999999963,200,0,99
337,-10.639999999999963,200,0,96
338,-11.269999999999962,200,0,103
339,-11.989999999999961,200,0,111
340,-10.369999999999962,200,0,93
341,-10.639999999999963,200,0,96
342,-11.539999999999964,200,0,106
343,-10.189999999999966,200,0,91
344,-11.359999999999962,200,0,104
345,-10.009999999999968,200,0,89
346,-10.639999999999963,200,0,96
347,-10.639999999999963,200,0,96
348,-10.549999999999963,200,0,95
349,-10.729999999999963,200,0,97
350,-10.639999999999963,200,0,96
351,-11.089999999999963,200,0,101
352,-10.999999999999961,200,0,100
